,location,total_sqft,bath,price,bhk
1, Devarachikkanahalli,1250.0,2.0,40.0,2.0
2, Devarachikkanahalli,1200.0,2.0,83.0,2.0
3, Devarachikkanahalli,1170.0,2.0,40.0,2.0
4, Devarachikkanahalli,1425.0,2.0,65.0,3.0
5, Devarachikkanahalli,947.0,2.0,43.0,2.0
6, Devarachikkanahalli,1130.0,2.0,36.0,2.0
7, Devarachikkanahalli,1417.0,2.0,76.0,3.0
8, Devarachikkanahalli,1230.0,2.0,58.0,2.0
9, Devarachikkanahalli,1705.0,3.0,75.0,3.0
10, Devarachikkanahalli,1116.0,2.0,47.0,2.0
11, Devarachikkanahalli,991.0,2.0,40.0,2.0
13,1st Block Jayanagar,2850.0,4.0,428.0,4.0
14,1st Block Jayanagar,1630.0,3.0,194.0,3.0
15,1st Block Jayanagar,1875.0,2.0,235.0,3.0
16,1st Block Jayanagar,1200.0,2.0,130.0,3.0
17,1st Block Jayanagar,1235.0,2.0,148.0,2.0
18,1st Block Jayanagar,2750.0,4.0,413.0,4.0
19,1st Block Jayanagar,2450.0,4.0,368.0,4.0
21,1st Phase JP Nagar,1875.0,3.0,167.0,3.0
22,1st Phase JP Nagar,1500.0,5.0,85.0,5.0
23,1st Phase JP Nagar,2065.0,4.0,210.0,3.0
25,1st Phase JP Nagar,2059.0,3.0,225.0,3.0
26,1st Phase JP Nagar,1394.0,2.0,100.0,2.0
27,1st Phase JP Nagar,1077.0,2.0,93.0,2.0
28,1st Phase JP Nagar,1566.0,2.0,180.0,2.0
29,1st Phase JP Nagar,840.0,2.0,50.0,1.0
30,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
31,1st Phase JP Nagar,2180.0,3.0,210.0,3.0
32,1st Phase JP Nagar,1180.0,2.0,88.5,2.0
33,1st Phase JP Nagar,1200.0,2.0,86.0,2.0
34,1st Phase JP Nagar,1394.0,2.0,85.0,2.0
35,1st Phase JP Nagar,2077.0,3.0,175.0,3.0
37,1st Phase JP Nagar,1205.0,2.0,85.0,2.0
39,1st Phase JP Nagar,900.0,2.0,75.0,2.0
40,2nd Phase Judicial Layout,1450.0,2.0,50.75,3.0
41,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
42,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
43,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
44,2nd Phase Judicial Layout,900.0,2.0,41.0,2.0
45,2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0
46,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
47,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
48,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
49,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6.0
50,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6.0
51,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
52,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
53,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4.0
54,5th Block Hbr Layout,1206.0,2.0,56.0,2.0
55,5th Block Hbr Layout,1270.0,2.0,70.0,3.0
56,5th Block Hbr Layout,1312.0,2.0,69.0,2.0
57,5th Block Hbr Layout,1100.0,2.0,48.0,2.0
58,5th Block Hbr Layout,3600.0,5.0,130.0,5.0
59,5th Block Hbr Layout,5100.0,5.0,300.0,6.0
60,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
61,5th Phase JP Nagar,1150.0,3.0,52.5,2.0
62,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
63,5th Phase JP Nagar,1207.0,2.0,63.0,2.0
64,5th Phase JP Nagar,1725.0,2.0,100.0,3.0
65,5th Phase JP Nagar,1440.0,2.0,60.0,2.0
66,5th Phase JP Nagar,1700.0,2.0,100.0,3.0
68,5th Phase JP Nagar,2500.0,5.0,110.0,5.0
69,5th Phase JP Nagar,600.0,1.0,30.0,1.0
70,5th Phase JP Nagar,1390.0,2.0,65.0,2.0
71,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
72,5th Phase JP Nagar,1000.0,2.0,48.0,2.0
73,5th Phase JP Nagar,1350.0,2.0,75.0,3.0
74,5th Phase JP Nagar,552.0,1.0,23.5,1.0
75,5th Phase JP Nagar,1200.0,2.0,51.0,2.0
79,5th Phase JP Nagar,1030.0,2.0,57.0,2.0
80,5th Phase JP Nagar,1200.0,2.0,68.0,2.0
81,5th Phase JP Nagar,1190.0,2.0,61.8,2.0
82,5th Phase JP Nagar,4000.0,5.0,170.0,5.0
83,5th Phase JP Nagar,1080.0,2.0,53.0,2.0
84,5th Phase JP Nagar,1041.0,2.0,54.0,2.0
85,5th Phase JP Nagar,812.0,2.0,42.0,2.0
86,5th Phase JP Nagar,1010.0,2.0,57.0,2.0
88,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
89,6th Phase JP Nagar,1192.0,2.0,74.0,2.0
90,6th Phase JP Nagar,1180.0,2.0,80.0,2.0
91,6th Phase JP Nagar,3245.0,4.0,250.0,4.0
92,6th Phase JP Nagar,1645.0,3.0,100.0,3.0
93,6th Phase JP Nagar,1140.0,2.0,65.0,2.0
94,6th Phase JP Nagar,2040.0,3.0,200.0,3.0
95,6th Phase JP Nagar,1213.0,2.0,63.0,2.0
96,6th Phase JP Nagar,1216.0,2.0,60.0,2.0
97,6th Phase JP Nagar,1460.0,2.0,80.0,2.0
98,6th Phase JP Nagar,2003.0,3.0,200.0,3.0
99,6th Phase JP Nagar,1810.0,3.0,131.0,3.0
100,6th Phase JP Nagar,1515.0,2.0,135.0,3.0
101,6th Phase JP Nagar,1192.0,2.0,75.0,2.0
102,6th Phase JP Nagar,1280.0,2.0,88.0,2.0
103,7th Phase JP Nagar,1080.0,2.0,72.0,2.0
104,7th Phase JP Nagar,1270.0,2.0,93.0,2.0
105,7th Phase JP Nagar,1420.0,2.0,100.0,3.0
106,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
107,7th Phase JP Nagar,1245.0,2.0,94.0,2.0
108,7th Phase JP Nagar,1175.0,2.0,82.0,2.0
109,7th Phase JP Nagar,1400.0,2.0,95.0,3.0
110,7th Phase JP Nagar,2225.0,3.0,160.0,3.0
111,7th Phase JP Nagar,1050.0,2.0,71.0,2.0
112,7th Phase JP Nagar,1100.0,2.0,46.0,2.0
113,7th Phase JP Nagar,918.0,2.0,50.49,2.0
114,7th Phase JP Nagar,1450.0,2.0,100.0,3.0
115,7th Phase JP Nagar,1190.0,2.0,49.98,2.0
116,7th Phase JP Nagar,1420.0,2.0,96.0,3.0
117,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
118,7th Phase JP Nagar,980.0,2.0,69.0,2.0
119,7th Phase JP Nagar,1180.0,2.0,72.0,2.0
123,7th Phase JP Nagar,1400.0,3.0,115.0,3.0
124,7th Phase JP Nagar,1270.0,2.0,83.0,2.0
126,7th Phase JP Nagar,2503.0,4.0,188.0,4.0
127,7th Phase JP Nagar,2200.0,3.0,190.0,3.0
130,7th Phase JP Nagar,1575.0,2.0,110.0,3.0
131,7th Phase JP Nagar,1850.0,3.0,140.0,3.0
132,7th Phase JP Nagar,1575.0,2.0,120.0,3.0
133,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
134,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
135,7th Phase JP Nagar,1175.0,2.0,82.5,2.0
138,7th Phase JP Nagar,1215.0,2.0,90.0,2.0
